SSC_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,14
SSC10002,15,16,26,7,0,0,95,3,13,3,10,9,0,0,0,32,78,135,105,81,69,32,5,0,497,28,59,79,109,66,15,6,0,363,66,76,84,165,128,45,16,4,578,6,4,5,7,10,3,0,0,34,7,10,15,36,32,7,3,0,105,79,90,100,207,165,52,17,4,715,3,10,5,9,14,0,3,0,35,31,26,18,26,30,12,18,0,173,218,358,329,467,377,119,46,7,1912
SSC10003,93,97,79,57,10,0,398,0,20,30,23,33,17,4,0,124,47,239,261,201,123,81,47,9,1011,23,80,84,88,90,58,16,4,444,18,82,67,111,68,80,27,6,454,4,7,3,11,8,3,0,0,32,4,6,17,32,29,31,11,3,134,24,89,92,148,98,113,34,11,613,4,11,9,7,20,8,3,4,63,27,56,64,67,58,80,41,21,414,132,547,626,631,495,412,158,53,3062
SSC10004,8,7,8,0,0,0,30,0,3,3,5,4,0,0,0,15,7,28,45,36,22,5,0,0,139,4,9,18,22,22,3,0,0,77,18,40,31,54,37,11,3,0,204,3,4,3,5,0,0,0,0,14,3,3,5,0,3,5,0,0,20,26,44,42,57,44,21,7,0,235,0,0,0,3,0,3,0,0,10,11,3,6,12,9,0,0,0,35,46,89,116,143,103,40,6,3,545
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,11
SSC10006,3,4,0,0,0,0,7,0,3,0,0,3,0,0,0,8,5,15,19,8,12,8,7,0,70,8,25,37,23,30,3,6,0,119,51,108,92,100,61,26,13,0,452,11,13,7,0,3,3,0,0,41,6,8,3,5,4,4,0,0,29,71,127,104,109,70,31,13,0,525,0,0,0,0,0,0,0,0,5,28,32,22,27,33,30,9,6,196,111,204,188,173,147,80,32,4,936
SSC10007,0,5,7,0,0,0,9,0,0,3,3,3,0,0,0,10,4,24,9,10,6,3,3,0,59,7,11,15,9,11,12,0,0,72,32,111,73,76,60,15,11,3,385,4,4,12,9,3,0,0,0,26,4,3,13,12,10,0,3,0,39,36,119,97,89,65,14,16,3,449,0,0,3,0,4,0,0,0,11,29,26,32,34,26,35,19,11,199,76,181,157,153,135,63,37,12,811
SSC10008,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,13,0,0,0,3,3,0,0,0,8,0,3,3,4,3,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,8,3,9,6,8,11,9,3,0,52
SSC10009,13,16,9,7,3,0,68,3,14,14,9,9,3,0,0,51,18,116,110,56,34,15,12,0,352,28,101,99,88,41,26,4,0,389,151,346,267,194,91,47,8,0,1098,24,24,19,8,6,0,0,0,75,13,10,16,19,19,9,0,0,84,188,382,290,217,114,55,15,0,1261,0,5,6,4,6,0,0,0,21,35,44,36,31,33,21,17,3,222,263,680,572,422,254,129,42,3,2360
SSC10010,0,0,0,0,0,0,7,0,0,3,0,6,0,0,0,11,3,18,22,19,17,6,4,0,89,4,30,24,17,14,11,3,0,103,42,120,90,83,80,36,11,0,462,0,11,7,0,3,0,0,0,24,3,4,6,17,5,7,0,0,44,47,130,104,100,95,42,11,3,530,0,5,3,3,0,0,5,0,18,29,24,19,23,27,23,18,3,166,84,209,169,167,161,81,42,7,921
