SSC_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
SSC10002,11,0,22,16,15,7,0,6,0,66,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,14,3,0,10,3,3,3,0,3,3,29,229,373,269,109,243,91,54,63,20,1443
SSC10003,15,3,15,8,13,13,0,3,0,73,4,0,0,0,0,0,0,0,0,8,3,7,0,3,3,3,0,0,0,24,3,4,0,3,4,0,0,3,4,25,452,801,176,108,278,126,17,40,23,2023
SSC10004,3,0,11,3,0,0,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,61,122,59,50,66,24,14,19,4,419
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
SSC10006,4,3,14,8,3,4,8,3,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,3,5,5,0,24,31,77,117,89,64,38,64,51,6,538
SSC10007,0,0,9,3,0,8,4,3,0,35,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,6,3,0,9,3,3,3,3,4,0,33,44,59,149,52,54,18,78,44,4,506
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,3,0,3,0,0,3,0,36
SSC10009,14,7,54,22,20,7,9,12,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,18,3,3,10,5,0,6,6,4,3,39,172,359,439,195,240,104,168,77,19,1778
SSC10010,4,4,13,4,0,3,0,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,6,5,0,24,39,90,125,57,66,34,74,66,8,559
SSC10011,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,8,3,25,10,13,9,10,9,0,89
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10013,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7
SSC10014,14,0,24,14,9,12,6,5,0,78,0,0,0,0,0,0,0,0,0,0,5,0,3,0,14,3,4,0,0,29,0,3,7,3,3,9,3,0,0,27,195,456,213,141,239,90,84,53,16,1491
SSC10015,0,0,4,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,20,4,14,12,7,4,0,13,3,78
SSC10016,13,4,49,10,15,13,4,7,3,110,0,0,0,0,0,0,0,0,0,0,3,6,0,3,3,0,3,0,0,24,5,3,0,6,7,4,0,3,6,46,275,758,344,215,298,102,59,107,29,2189
SSC10017,7,4,25,4,5,9,4,7,3,69,0,0,0,0,0,0,0,0,0,3,4,7,4,3,0,3,3,0,0,26,3,4,3,0,3,0,0,0,3,23,267,756,249,137,229,82,60,72,22,1870
SSC10018,0,0,5,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,3,0,3,0,3,0,0,3,0,17,33,33,48,32,27,6,26,19,4,220
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,0,3,0,0,0,0,24
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,11
SSC10021,0,0,4,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,50,64,29,39,15,16,12,6,270
SSC10022,0,0,3,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,0,3,3,16,14,15,20,62,21,17,22,36,6,213
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,4,3,0,0,0,0,0,18
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,3,0,0,0,0,25
SSC10025,25,7,111,31,26,23,18,19,0,269,0,0,0,0,0,0,0,4,0,3,5,0,3,6,6,3,3,0,0,27,5,3,23,9,7,7,6,19,14,102,391,769,964,647,512,238,277,242,44,4086
SSC10026,15,3,53,13,10,12,9,13,3,137,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,0,3,3,0,17,3,0,22,6,7,3,10,12,10,75,144,278,411,285,215,117,154,172,30,1806
SSC10027,14,4,55,15,6,8,0,3,0,97,0,0,0,0,0,0,0,0,0,3,4,5,0,4,7,0,0,0,0,22,5,6,0,0,0,3,0,3,4,23,285,672,200,157,184,85,29,59,17,1693
SSC10028,3,0,7,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,7,20,36,37,37,19,13,10,16,0,191
SSC10029,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,3,4,7,0,3,5,3,52
SSC10030,41,13,63,21,15,11,4,3,3,178,0,0,0,3,0,0,0,0,0,3,26,40,3,8,10,0,5,0,3,102,14,15,7,3,6,4,5,3,16,67,895,2110,338,269,551,278,54,84,67,4646
SSC10031,0,0,10,11,11,3,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,16,0,3,8,0,3,5,0,0,3,22,224,360,172,86,196,92,27,33,31,1221
SSC10032,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,19,5,11,3,6,0,0,3,0,44
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,3,0,0,4,0,20
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,4,0,0,0,0,20
SSC10036,20,3,43,14,10,16,0,4,3,108,0,0,0,0,0,0,0,0,0,0,3,5,4,0,7,0,0,0,3,25,5,0,8,3,4,3,3,0,7,38,517,826,317,205,316,159,37,71,40,2487
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,9,0,0,3,3,0,3,3,25
SSC10038,7,3,35,17,7,13,0,12,0,95,0,0,0,0,0,0,0,3,0,9,0,6,3,0,0,3,0,4,0,17,4,3,5,7,4,3,5,3,9,42,236,591,237,244,279,209,96,158,36,2094
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,13
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,10,0,0,7,3,0,33
