SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC10001,3,0,0,0,0,0,3,0,0,13
SSC10002,317,419,345,174,446,261,134,165,38,2297
SSC10003,551,854,213,186,397,248,53,109,46,2660
SSC10004,74,127,69,74,95,49,26,43,3,573
SSC10005,0,0,0,0,0,0,0,3,0,14
SSC10006,55,89,153,147,94,108,135,139,17,943
SSC10007,79,66,188,73,92,86,169,143,11,906
SSC10008,36,3,4,0,7,0,0,5,3,61
SSC10009,219,385,511,309,364,314,339,222,36,2695
SSC10010,59,101,158,100,96,115,152,162,16,962
SSC10011,15,6,31,12,14,12,14,14,0,121
SSC10012,3,0,0,0,0,0,0,3,0,5
SSC10013,3,0,3,0,0,3,0,7,0,16
SSC10014,259,494,254,189,378,205,153,121,32,2074
SSC10015,32,3,19,16,15,16,7,27,5,136
SSC10016,332,814,428,353,454,307,109,266,46,3107
SSC10017,313,795,300,220,378,224,93,155,35,2521
SSC10018,43,40,59,43,41,23,64,50,7,376
SSC10019,17,0,0,0,6,0,3,11,0,42
SSC10020,3,3,3,0,0,0,0,3,0,21
SSC10021,61,61,87,43,83,43,35,42,10,463
SSC10022,19,26,59,96,53,47,95,120,22,525
SSC10023,3,8,4,3,0,3,0,4,0,30
SSC10024,25,4,3,0,3,0,0,0,0,34
SSC10025,564,841,1204,870,864,694,612,617,85,6347
SSC10026,219,305,501,398,363,327,334,397,50,2906
SSC10027,365,714,237,241,292,202,62,154,24,2288
SSC10028,31,40,40,52,30,35,32,40,7,311
SSC10029,34,10,0,4,3,4,11,6,3,82
SSC10030,1077,2300,412,380,737,410,97,161,88,5670
SSC10031,300,400,210,151,322,202,68,93,46,1792
SSC10032,23,5,10,3,10,3,0,4,0,60
SSC10033,0,0,0,0,0,0,0,0,0,0
SSC10034,7,6,13,0,3,3,0,3,3,39
SSC10035,10,4,3,3,4,0,0,5,0,31
SSC10036,609,916,391,314,483,339,87,188,52,3385
SSC10037,3,6,4,0,7,3,5,5,3,43
SSC10038,288,645,351,352,408,339,176,328,53,2936
SSC10039,14,3,0,3,0,0,0,0,0,20
SSC10040,8,7,6,15,5,4,5,4,0,48
SSC10041,18,0,15,3,7,0,8,9,0,67
SSC10042,8,3,7,0,6,3,8,0,0,33
SSC10043,20,4,0,0,3,0,0,3,0,31
SSC10044,14,14,11,10,13,3,3,3,0,66
SSC10045,52,51,25,28,26,7,7,20,12,223
SSC10046,237,504,306,273,298,227,101,237,38,2217
SSC10047,13,4,10,5,10,0,0,0,0,40
SSC10048,4,4,3,3,3,3,0,6,0,22
SSC10049,240,330,407,339,457,302,392,398,51,2925
SSC10050,3,0,0,0,3,0,0,0,0,15
SSC10051,0,0,0,0,0,0,0,0,0,0
SSC10052,12,3,0,0,0,0,0,3,0,21
SSC10053,3,0,0,3,3,0,0,0,0,11
SSC10054,19,0,3,3,8,0,0,3,0,35
SSC10055,3,3,10,3,3,0,0,0,0,30
SSC10056,17,8,12,5,6,7,3,14,8,75
SSC10057,8,0,0,7,0,0,0,9,0,22
SSC10058,8,0,4,0,3,3,0,3,0,23
SSC10059,15,36,12,17,6,8,0,3,0,103
SSC10060,171,205,293,209,166,180,109,176,16,1525
SSC10061,989,2346,329,382,632,356,104,131,93,5363
SSC10062,157,137,137,52,133,65,24,58,5,779
SSC10063,136,187,263,158,218,138,118,116,24,1355
SSC10064,3,3,0,0,0,0,0,3,0,13
SSC10065,3,4,4,0,3,0,0,8,0,23
SSC10066,3,0,0,0,0,0,0,3,0,7
SSC10067,10,4,4,9,5,7,3,11,0,49
SSC10068,5,0,0,0,0,0,0,0,0,14
SSC10069,29,29,32,8,20,15,6,22,8,172
SSC10070,23,6,3,3,3,3,3,6,4,60
SSC10071,3,0,0,0,0,0,0,0,0,3
SSC10072,131,158,114,64,105,57,18,53,27,728
SSC10073,58,91,119,68,94,62,53,65,11,613
SSC10074,4,0,5,4,0,0,0,4,0,22
SSC10075,24,19,10,10,13,9,0,5,3,94
SSC10076,61,10,19,19,14,13,13,22,3,163
SSC10077,0,3,0,3,0,0,3,3,0,15
SSC10078,31,55,87,63,47,53,61,88,6,495
SSC10079,19,8,11,10,3,5,6,15,5,79
SSC10080,9,0,0,0,0,0,0,0,0,9
SSC10081,84,24,15,11,18,6,4,19,0,187
SSC10082,18,0,3,3,3,0,0,4,0,27
SSC10083,3,0,0,0,0,0,3,0,0,6
SSC10084,31,5,3,4,3,0,3,9,0,67
SSC10085,1068,2542,1069,1202,1236,1012,365,1028,124,9636
SSC10086,575,1157,605,491,700,479,345,549,113,5011
SSC10087,3,0,9,0,0,0,0,3,0,19
SSC10088,10,17,14,15,3,10,5,17,0,91
SSC10089,30,62,28,29,25,16,9,35,3,234
SSC10090,806,2143,351,409,634,349,81,201,83,5058
SSC10091,11,6,3,0,3,0,0,0,0,22
SSC10092,14,3,0,0,0,0,0,3,0,20
SSC10093,245,501,195,128,259,160,53,91,16,1646
SSC10094,10,23,18,14,18,11,9,16,0,117
SSC10095,9,10,17,6,10,9,3,11,0,71
SSC10096,0,0,0,0,0,0,0,0,0,3
SSC10097,47,78,133,105,107,78,144,157,42,893
SSC10098,1266,3766,1295,1372,1640,1030,464,1163,238,12225
SSC10099,52,14,19,32,9,12,13,41,5,205
SSC10100,31,12,19,16,20,17,21,30,0,176
SSC10101,85,113,234,185,139,157,121,247,18,1295
SSC10102,255,489,346,249,323,220,180,180,28,2275
SSC10103,226,556,174,187,247,120,46,101,17,1675
SSC10104,14,0,3,0,0,0,8,3,0,35
SSC10105,52,33,33,25,32,14,28,47,13,278
