SSC_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,13
SSC10002,3,7,13,18,47,67,49,105,3,317,7,18,31,41,84,112,43,65,9,419,9,21,17,18,85,93,42,60,7,345,4,47,34,33,30,16,5,5,3,174,17,41,50,71,107,92,23,31,4,446,3,73,44,30,24,43,6,39,3,261,3,7,4,12,36,30,11,36,0,134,10,26,19,9,29,32,10,20,10,165,6,0,3,0,3,9,0,5,5,38,57,234,217,227,457,502,194,368,51,2297
SSC10003,16,16,14,27,64,130,73,198,3,551,25,58,72,79,106,207,97,195,11,854,7,6,20,18,31,47,28,51,3,213,9,45,39,17,24,27,3,22,3,186,5,32,68,42,103,77,26,43,5,397,5,49,27,24,40,40,20,41,0,248,0,5,4,8,11,10,9,8,0,53,0,30,20,12,12,13,7,14,3,109,0,0,4,3,8,15,3,8,4,46,77,242,273,220,401,570,270,576,39,2660
SSC10004,4,0,0,4,16,7,13,30,0,74,0,8,17,25,20,26,9,27,0,127,0,6,0,4,17,21,5,15,0,69,3,16,12,9,15,14,8,4,0,74,5,6,5,10,34,22,6,4,0,95,0,16,7,9,9,3,3,3,0,49,0,0,3,3,3,4,3,9,0,26,0,12,10,3,10,4,0,5,0,43,0,0,0,0,0,0,0,0,0,3,22,65,59,67,120,100,47,92,4,573
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,14
SSC10006,3,0,3,4,7,8,12,18,0,55,0,3,11,13,16,15,6,14,0,89,0,8,14,14,37,39,12,23,4,153,8,21,27,35,22,16,7,12,0,147,6,14,19,6,23,20,4,0,0,94,8,27,21,18,12,11,3,3,3,108,3,0,6,10,26,27,30,34,3,135,4,30,20,23,29,14,6,9,0,139,0,0,0,0,3,0,0,0,9,17,41,106,110,125,184,146,86,121,20,943
SSC10007,3,0,7,13,4,14,10,28,3,79,3,0,12,13,11,9,11,12,0,66,3,9,3,17,44,38,28,40,3,188,5,10,15,17,5,6,0,4,0,73,3,9,10,12,33,12,7,4,4,92,0,32,14,18,9,5,3,3,0,86,11,5,17,11,28,20,30,48,3,169,8,33,10,14,35,17,8,16,3,143,0,0,0,0,3,0,0,0,4,11,32,100,85,122,171,120,100,155,20,906
SSC10008,0,3,3,0,0,3,4,21,0,36,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,3,6,8,3,0,10,4,31,0,61
SSC10009,10,5,5,19,38,54,31,59,0,219,23,20,36,39,68,86,51,71,0,385,11,19,26,23,91,110,98,134,3,511,9,67,45,52,48,27,17,24,8,309,22,38,43,44,107,58,31,22,0,364,15,100,51,52,42,27,16,16,0,314,12,14,12,18,56,46,62,113,7,339,4,51,28,30,39,23,11,25,7,222,0,0,0,0,0,8,0,16,15,36,108,311,242,281,497,429,313,471,30,2695
SSC10010,3,0,0,7,9,12,4,16,0,59,0,7,12,18,13,19,10,18,3,101,11,9,8,8,47,34,14,17,4,158,5,26,22,13,19,11,3,6,0,100,8,10,16,17,21,16,4,3,3,96,5,32,26,9,19,10,3,4,0,115,6,5,8,5,25,32,26,39,5,152,3,39,26,24,30,17,12,8,8,162,3,0,0,0,7,0,0,4,3,16,41,129,120,100,192,157,81,116,27,962
SSC10011,0,0,0,0,0,0,3,0,0,15,0,0,0,7,0,0,0,0,0,6,0,3,0,0,4,10,3,9,0,31,3,0,4,0,4,0,0,0,0,12,0,0,0,5,5,4,0,0,0,14,3,3,0,8,0,0,0,4,0,12,0,0,0,0,3,4,0,3,0,14,0,3,3,0,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,11,18,16,19,21,13,20,0,121
SSC10012,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,5
