SSC_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10002,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,3,3,56,14,0,34,0,40,0,20,3,78,11,263
SSC10003,0,9,0,132,4,0,0,3,0,0,0,0,0,0,29,36,3,0,0,0,0,0,0,0,0,6,0,14,201,36,7,66,10,56,0,36,3,203,33,662
SSC10004,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,3,0,3,31,0,0,15,0,12,0,6,0,28,8,99
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10006,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,7,0,10,38,3,0,39,0,16,0,28,3,91,7,220
SSC10007,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,0,0,0,0,6,3,8,39,12,0,34,4,20,4,11,3,79,18,218
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,13
SSC10009,0,0,0,18,0,0,3,0,0,0,0,0,0,3,26,32,0,0,0,0,0,0,0,0,0,0,0,3,133,16,9,80,17,54,3,14,0,119,27,469
SSC10010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,39,10,0,44,3,26,4,15,0,90,14,238
SSC10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,0,13
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10013,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
SSC10014,0,0,0,16,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,4,90,7,0,36,3,26,0,11,0,59,9,242
SSC10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,3,0,6,0,3,0,16,4,55
SSC10016,0,0,0,18,0,3,0,0,0,0,0,0,0,0,35,41,0,0,0,0,0,0,0,0,0,3,4,5,135,21,8,66,8,49,3,42,4,145,43,528
SSC10017,0,3,0,39,3,0,0,4,0,0,0,0,0,7,23,35,0,0,0,0,0,0,0,0,0,0,0,3,105,15,0,49,4,40,5,46,6,281,28,581
SSC10018,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,5,18,5,3,13,0,12,0,6,4,48,8,113
SSC10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8
SSC10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,6,0,7,0,8,0,18,3,72
SSC10022,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,3,0,4,8,3,0,4,0,10,0,3,0,68,3,100
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14
SSC10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4
SSC10025,0,0,0,26,0,0,0,0,0,3,0,0,0,17,64,85,3,0,0,6,0,0,0,0,0,5,3,19,208,36,12,152,19,119,3,83,12,417,75,1136
SSC10026,0,0,0,9,0,0,0,3,0,3,0,0,0,7,22,40,0,0,0,0,0,0,0,0,0,11,4,14,107,23,5,98,16,68,3,50,4,302,32,710
SSC10027,0,4,0,54,0,0,0,0,0,0,0,0,0,3,32,42,0,0,0,0,0,0,0,0,0,3,0,6,106,36,3,89,6,44,3,50,5,154,34,532
SSC10028,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,16,3,4,3,10,3,50,7,104
SSC10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,7,0,27
SSC10030,0,0,0,261,7,0,0,0,0,0,0,0,0,0,97,109,0,0,0,0,0,3,0,0,0,0,3,10,728,41,15,174,27,94,3,20,4,71,103,1283
SSC10031,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,3,5,40,8,0,35,3,34,0,22,4,82,10,240
SSC10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,9
SSC10036,0,5,0,54,0,0,0,0,0,0,0,3,0,3,25,34,0,0,0,0,0,0,0,0,0,3,0,7,86,14,8,66,0,39,7,48,7,227,26,536
SSC10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7
SSC10038,0,0,0,19,0,0,0,0,0,0,0,0,0,0,23,25,0,0,0,0,0,0,0,0,0,3,5,11,143,43,3,87,7,69,10,37,0,150,31,575
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9
SSC10041,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,3,0,6,0,13
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,11
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4
SSC10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,17
SSC10045,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,9,0,6,0,4,3,15,9,60
SSC10046,0,3,0,17,0,0,0,0,0,0,0,3,0,10,38,43,0,0,0,0,0,0,0,0,0,10,3,13,65,27,0,75,8,53,7,54,3,378,44,719
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,12
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10049,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,23,0,0,0,0,0,0,0,0,0,6,3,11,126,12,4,55,9,70,4,37,6,179,32,532
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
