SA2_MAINCODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
101021007,1607,1614,3222,609,355,972,205,358,559,72,45,115,40,31,73,922,793,1721,499,633,1133,4.3,3.9,4.2,57.4,49.1,53.4,55.1,47,51.1,72,95,170,22,58,77,172,240,413,117,160,274,406,154,558,16,27,38,36,54,93,451,230,685,1494,1432,2930,202,232,431,1034,973,2008,587,622,1211
101021008,3236,3388,6623,1701,1153,2855,342,744,1092,110,127,241,104,101,208,2263,2129,4392,789,1053,1841,4.6,4.7,4.7,69.9,62.8,66.3,66.5,59.7,63.2,111,86,197,49,83,127,226,355,584,218,337,553,866,386,1254,30,51,85,40,98,138,934,543,1478,3253,3318,6573,483,467,947,2357,2438,4795,1194,1214,2410
101021009,4545,4624,9169,2290,1592,3889,503,886,1387,155,185,335,185,124,306,3127,2790,5918,1067,1492,2558,5.9,4.4,5.2,68.8,60.3,64.5,64.9,57.6,61.2,236,226,464,69,141,215,559,726,1281,352,447,805,993,490,1483,39,82,121,69,102,170,1103,672,1774,3838,3810,7646,990,1035,2023,2286,2262,4547,2306,2383,4682
101021010,2025,1955,3981,1117,763,1880,235,400,633,57,76,134,70,68,140,1476,1307,2788,420,534,951,4.7,5.2,5,72.9,66.9,70,69.6,63.4,66.5,163,124,284,31,57,89,272,371,645,181,207,384,451,194,643,20,42,65,19,38,60,491,272,765,1751,1677,3430,470,414,886,987,989,1977,1113,1039,2148
101021011,6772,6599,13377,3574,2390,5968,713,1556,2272,252,323,574,144,120,265,4685,4392,9078,1405,1628,3032,3.1,2.7,2.9,69.2,66.6,67.9,67,64.7,65.9,495,420,921,179,290,470,844,1231,2081,627,835,1464,1641,621,2261,36,105,146,85,177,262,1763,903,2671,6500,6287,12789,1077,1109,2188,4386,4177,8568,2863,2915,5782
101021012,4799,4931,9725,2938,2026,4966,551,1261,1811,145,204,349,132,123,254,3771,3615,7386,823,1119,1939,3.5,3.4,3.4,78.6,73.3,75.9,75.7,70.8,73.3,454,281,737,135,194,328,614,865,1483,508,588,1092,1013,567,1574,26,74,98,46,125,174,1087,762,1848,4987,5025,10010,845,872,1713,3339,3353,6690,2242,2334,4574
101031013,1014,975,1991,459,212,670,96,232,328,34,33,64,25,21,50,619,494,1117,322,400,724,4,4.3,4.5,61,50.7,56.1,58.1,48.9,53.3,11,7,21,10,10,16,59,107,162,42,86,131,258,113,376,12,22,30,14,18,35,287,154,444,984,950,1936,117,123,248,736,713,1445,309,313,619
101031014,2820,2859,5678,1047,664,1709,341,679,1018,87,83,172,79,61,143,1553,1493,3042,1031,1096,2128,5.1,4.1,4.7,55.1,52.2,53.6,52.3,49.9,51.1,56,59,120,20,61,82,192,316,510,164,256,418,746,364,1105,27,55,82,48,81,130,817,497,1317,2438,2526,4969,422,459,874,1754,1830,3585,965,1041,2009
101031015,1399,1325,2724,627,369,990,165,323,487,43,48,85,36,24,60,870,762,1627,410,447,854,4.1,3.1,3.7,62.2,57.5,59.7,59.7,55.8,57.3,41,38,74,13,19,34,135,186,316,89,153,234,389,155,545,11,26,43,27,47,78,434,228,660,1363,1284,2646,148,144,291,1036,983,2018,430,395,823
101031016,3062,2645,5709,1545,1009,2555,432,698,1130,115,103,216,44,31,73,2135,1838,3974,621,592,1209,2.1,1.7,1.8,69.7,69.5,69.6,68.3,68.4,68.3,86,97,178,40,66,99,289,433,724,225,338,561,1019,352,1372,33,59,91,49,95,146,1101,514,1611,2658,2350,5009,652,562,1214,1759,1526,3287,1430,1282,2713
101041017,3165,3292,6452,824,465,1288,411,678,1091,70,85,156,130,102,225,1434,1331,2764,1436,1671,3106,9.1,7.7,8.1,45.3,40.4,42.8,41.2,37.3,39.3,49,48,96,44,60,103,157,285,440,177,287,467,927,371,1290,38,53,91,71,118,192,1038,537,1577,2829,2999,5823,548,531,1078,1863,1965,3829,1424,1418,2844
101041018,3391,3778,7166,855,583,1435,451,787,1238,77,106,186,156,111,266,1544,1586,3130,1529,1857,3381,10.1,7,8.5,45.5,42,43.7,40.8,39.1,39.9,94,73,170,45,85,135,280,389,665,227,377,604,915,459,1376,39,56,95,69,139,209,1031,657,1683,2945,3275,6224,590,647,1238,1947,2137,4085,1517,1702,3219
101041019,3286,3564,6852,1199,713,1914,447,886,1333,104,118,226,106,79,181,1860,1798,3657,1163,1495,2663,5.7,4.4,4.9,56.6,50.4,53.4,53.3,48.2,50.7,81,76,164,44,99,138,297,469,762,202,327,526,873,407,1278,27,81,104,35,83,121,935,579,1510,3110,3306,6414,521,583,1108,2211,2308,4517,1252,1434,2686
101041020,3706,3634,7335,1261,684,1940,526,971,1490,154,119,267,129,104,235,2062,1880,3940,1350,1492,2843,6.3,5.5,6,55.6,51.7,53.7,52.4,48.8,50.4,74,117,191,52,121,177,298,524,821,256,391,642,1109,467,1573,40,88,134,71,129,203,1220,683,1909,3600,3547,7148,419,423,836,2733,2638,5366,1150,1203,2356
101041021,1351,1444,2789,415,263,674,170,325,491,31,37,61,32,29,56,641,648,1286,592,687,1276,5,4.5,4.4,47.4,44.9,46.1,45.6,43.3,44,36,34,74,30,62,92,158,197,352,103,155,255,403,169,568,13,20,25,28,38,68,434,225,659,1213,1263,2474,224,236,459,780,769,1548,605,712,1318
101041022,15,10,25,3,0,3,3,0,3,0,0,0,0,0,0,8,3,6,6,6,9,0,0,0,53.3,30,24,40,0,24,0,0,0,0,0,0,3,3,6,0,3,3,0,0,3,0,0,0,0,0,0,0,0,3,12,11,17,0,0,0,10,6,19,0,0,4
101041023,1309,1410,2715,415,197,611,155,314,466,33,42,72,45,43,86,650,593,1238,540,688,1230,6.9,7.3,6.9,49.7,42.1,45.6,46.1,39.2,42.3,14,16,37,12,23,28,70,100,176,69,111,177,325,156,479,15,23,47,20,43,67,367,223,587,1221,1261,2479,193,195,389,855,874,1726,493,540,1030
101041024,1433,1391,2824,438,262,697,216,394,614,36,52,86,66,35,98,765,737,1500,561,552,1115,8.6,4.7,6.5,53.4,53,53.1,48.2,50.9,49.5,23,45,69,8,38,47,110,140,256,89,156,250,478,198,677,15,30,46,19,57,77,517,286,806,1352,1299,2651,170,179,344,1024,973,1996,451,459,911
101041025,4310,4848,9156,1370,777,2154,559,1116,1673,120,152,272,111,87,197,2162,2133,4299,1845,2335,4178,5.1,4.1,4.6,50.2,44,47,47.5,42.2,44.8,107,96,201,62,129,191,381,610,988,305,494,801,1262,524,1788,35,91,127,91,180,264,1383,793,2180,3863,4186,8048,761,848,1611,2572,2733,5304,1915,2152,4063
101041026,3390,3501,6891,882,541,1423,445,790,1243,113,101,213,109,93,207,1559,1527,3080,1595,1715,3308,7,6.1,6.7,46,43.6,44.7,42.5,40.9,41.8,85,94,176,56,90,141,270,403,674,245,375,618,1004,434,1434,37,66,98,66,127,196,1107,628,1729,3168,3147,6322,434,478,913,2329,2266,4592,1184,1291,2472
101041027,3791,4035,7834,829,498,1325,504,831,1335,89,90,185,100,74,177,1521,1497,3016,1944,2190,4136,6.6,4.9,5.9,40.1,37.1,38.5,37.5,35.2,36.3,87,97,190,66,100,166,329,443,774,258,403,656,1089,448,1534,37,67,109,82,148,229,1212,660,1875,3447,3514,6959,530,570,1102,2324,2376,4698,1502,1588,3088
101051539,9292,9443,18737,3815,2219,6028,1004,2120,3118,255,305,555,381,322,708,5452,4958,10415,3213,3724,6940,7,6.5,6.8,58.7,52.5,55.6,54.6,49.2,51.8,170,192,358,96,153,251,555,866,1417,586,993,1573,2367,1291,3657,100,176,282,141,290,437,2607,1757,4368,8177,8584,16764,1631,1713,3336,5407,5671,11077,3882,4124,8007
101051540,5347,5082,10430,2327,1147,3475,614,1260,1878,166,186,352,141,116,253,3246,2705,5955,1630,1957,3590,4.3,4.3,4.2,60.7,53.2,57.1,58.1,51,54.7,115,124,243,47,108,157,341,563,909,369,544,908,1560,636,2195,46,82,130,94,192,279,1693,911,2606,5242,4893,10138,660,651,1310,3717,3412,7127,1902,1911,3819
101061541,2427,2752,5186,1129,706,1835,274,648,920,85,117,205,60,49,110,1550,1519,3068,674,964,1640,3.9,3.2,3.6,63.9,55.2,59.2,61.3,53.5,57.1,66,76,142,34,67,100,207,397,612,179,237,419,654,297,951,20,43,65,38,97,140,708,438,1147,2382,2603,4981,454,498,954,1657,1780,3435,1012,1186,2204
101061542,4540,4549,9092,2350,1493,3847,583,1183,1766,180,224,409,90,83,175,3210,2976,6189,1030,1287,2321,2.8,2.8,2.8,70.7,65.4,68.1,68.6,63.8,66.2,295,298,587,106,217,321,609,887,1493,401,514,919,1081,440,1522,35,64,96,59,113,171,1177,615,1792,4694,4638,9330,587,647,1236,3366,3256,6626,1631,1773,3396
101061543,3958,4387,8352,1597,829,2420,465,1039,1504,129,134,256,149,125,275,2342,2123,4462,1332,1944,3276,6.4,5.9,6.2,59.2,48.4,53.4,55.4,45.6,50,38,50,86,31,56,84,211,420,629,183,365,548,1103,527,1630,27,91,120,58,143,204,1190,757,1952,3926,4196,8122,716,803,1519,2699,2886,5582,1671,1872,3544
101061544,3020,3042,6059,1296,670,1966,292,675,961,104,84,181,85,70,163,1772,1496,3269,1019,1282,2303,4.8,4.7,5,58.7,49.2,54,56,47,51.3,35,46,79,16,34,52,166,319,486,152,304,458,723,350,1077,42,55,100,46,83,131,813,489,1305,3001,2939,5936,377,389,770,2251,2165,4413,972,1033,2006
102011028,2858,2882,5738,1386,692,2074,410,977,1386,91,80,167,114,96,213,1999,1837,3836,733,917,1645,5.7,5.2,5.6,69.9,63.7,66.9,66,60.7,63.2,146,126,277,57,99,154,462,611,1078,283,435,716,755,300,1054,19,48,64,63,97,157,840,440,1274,2913,2919,5831,465,447,911,1953,1945,3899,1327,1315,2645
102011029,4279,4558,8834,1726,922,2649,600,1242,1834,119,137,256,126,99,225,2572,2400,4967,1521,1954,3473,4.9,4.1,4.5,60.1,52.7,56.2,57.1,50.5,53.6,167,160,327,73,131,201,563,704,1268,393,577,969,1237,499,1739,29,72,96,89,163,254,1350,734,2084,4253,4440,8695,580,615,1198,2982,3077,6058,1722,1827,3557
102011030,2090,1865,3955,926,508,1433,238,448,682,75,61,130,49,39,85,1281,1051,2337,596,637,1229,3.8,3.7,3.6,61.3,56.4,59.1,59.3,54.5,56.8,50,58,109,12,39,56,197,245,444,145,238,383,546,199,741,28,36,61,45,71,117,619,301,914,1939,1768,3706,227,209,433,1455,1303,2755,645,623,1262
102011031,5328,6351,11672,2063,1160,3222,626,1504,2128,123,150,266,162,146,311,2974,2956,5932,2053,2976,5033,5.4,4.9,5.2,55.8,46.5,50.8,52.8,44.3,48.1,232,188,415,68,131,199,679,859,1536,486,694,1183,1297,605,1895,43,92,133,85,199,287,1420,895,2316,5152,5854,11005,775,900,1678,3522,4036,7559,2230,2569,4803
102011032,7503,8191,15692,3271,1987,5256,947,1883,2829,183,238,415,380,307,686,4780,4411,9184,2177,3182,5358,7.9,7,7.5,63.7,53.9,58.5,58.7,50.2,54.2,297,290,587,92,143,232,1000,1312,2311,661,905,1570,1695,1053,2744,81,128,215,145,227,371,1922,1410,3331,6643,7118,13767,1498,1579,3083,3926,4328,8255,3912,4145,8056
102011033,2526,2440,4970,1325,696,2021,301,703,1002,59,71,133,106,104,215,1792,1580,3366,606,764,1367,5.9,6.6,6.4,70.9,64.8,67.7,66.7,60.2,63.5,54,60,109,22,42,60,202,312,511,231,314,545,695,359,1054,34,52,86,43,91,132,780,501,1275,2529,2569,5102,344,354,699,1868,1904,3765,879,884,1759
102011034,2724,3332,6056,1091,597,1684,313,762,1079,76,100,178,93,92,187,1577,1550,3136,1023,1640,2664,5.9,5.9,6,57.9,46.5,51.8,54.3,43.8,48.6,81,70,150,34,59,94,260,397,653,210,354,560,832,386,1221,22,56,78,78,126,209,939,568,1504,2703,3171,5870,406,494,901,1795,2151,3951,1215,1411,2628
102011035,2565,2756,5324,1287,689,1978,334,810,1142,92,82,175,96,105,197,1809,1688,3489,656,951,1608,5.3,6.2,5.6,70.5,61.2,65.5,66.8,57.4,61.9,76,83,165,26,56,90,244,407,647,214,331,545,761,407,1169,26,51,70,46,81,123,833,540,1368,2658,2736,5393,366,411,781,1924,2018,3943,974,1030,2004
102011036,3095,3263,6355,1555,824,2382,416,926,1344,77,106,192,130,114,236,2185,1968,4146,784,1184,1967,5.9,5.8,5.7,70.6,60.3,65.2,66.2,56.9,61.7,103,89,189,39,77,113,348,464,821,271,397,669,915,442,1365,21,48,74,41,120,158,987,614,1600,3257,3412,6668,398,388,785,2329,2377,4705,1205,1278,2485
102011037,2446,2645,5084,1085,600,1686,296,689,984,63,76,142,100,88,187,1543,1455,3002,808,1082,1886,6.5,6,6.2,63.1,55,59,59,51.6,55.3,104,114,217,38,68,103,317,430,747,234,352,591,651,304,959,15,45,57,45,87,135,720,436,1154,2458,2598,5055,352,383,736,1747,1787,3537,969,1080,2052
102011038,2684,2939,5626,1212,662,1873,355,808,1163,57,96,149,83,79,158,1706,1640,3346,848,1163,2013,4.9,4.8,4.7,63.6,55.8,59.5,60.5,53.3,56.6,56,82,138,30,60,95,263,426,688,257,367,624,909,389,1299,15,61,75,59,103,162,983,555,1543,2719,2897,5625,363,428,795,1852,2000,3854,1120,1214,2333
