SA2_MAINCODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
101021007,1034,973,2008,149,170,320,263,260,519,16,12,31,22,29,54,0,0,5,5,3,9,0,0,3,3,4,4,89,100,189,0,0,0,408,413,818,19,34,57,6,8,17,587,622,1211,223,232,454,1841,1831,3671
101021008,2357,2438,4795,207,230,441,634,643,1279,18,17,33,43,42,87,11,11,24,8,5,15,4,3,10,6,3,11,169,168,334,0,0,0,902,883,1785,66,79,144,20,18,38,1194,1214,2410,241,278,517,3792,3933,7725
101021009,2286,2262,4547,379,389,773,951,967,1922,108,87,197,88,88,180,19,25,42,14,22,39,10,5,21,10,8,22,376,388,757,0,0,0,1578,1595,3176,299,363,665,44,34,75,2306,2383,4682,431,421,850,5020,5064,10082
101021010,987,989,1977,98,75,174,492,462,950,47,34,85,52,42,95,3,8,15,17,15,30,8,4,8,17,8,25,205,190,394,0,0,0,836,762,1600,160,175,332,18,27,44,1113,1039,2148,153,138,299,2257,2168,4424
101021011,4386,4177,8568,401,432,838,950,1011,1958,65,72,140,90,121,209,14,22,37,20,13,29,3,5,13,42,27,67,1079,1039,2120,0,0,0,2267,2315,4581,160,138,295,34,31,69,2863,2915,5782,821,737,1554,8073,7835,15904
101021012,3339,3353,6690,442,496,937,822,858,1678,86,90,182,142,165,313,38,35,75,42,34,69,8,6,11,61,57,119,390,394,779,0,0,0,1584,1639,3219,190,181,365,32,22,56,2242,2334,4574,271,261,536,5857,5946,11801
101031013,736,713,1445,129,123,254,92,111,204,27,27,52,13,13,29,8,4,7,3,0,3,0,0,0,0,3,3,21,19,37,0,0,0,163,174,338,7,5,12,4,9,15,309,313,619,91,98,184,1133,1119,2257
101031014,1754,1830,3585,389,422,805,352,381,737,24,35,59,47,45,93,5,7,11,8,6,15,4,7,12,12,8,25,71,74,138,0,0,0,523,570,1089,38,41,81,20,12,28,965,1041,2009,494,325,822,3219,3192,6413
101031015,1036,983,2018,50,48,101,255,231,487,8,14,19,20,10,27,0,0,6,3,10,17,3,0,3,3,0,4,62,65,130,0,0,0,360,331,694,10,12,17,11,6,16,430,395,823,154,154,311,1620,1532,3151
101031016,1759,1526,3287,458,422,874,620,542,1165,37,41,82,95,81,178,15,10,22,16,14,30,4,3,8,10,7,13,43,36,84,0,0,0,842,737,1581,108,107,215,23,13,38,1430,1282,2713,362,285,648,3552,3089,6641
101041017,1863,1965,3829,335,341,677,754,753,1506,45,34,82,61,60,119,5,5,13,16,15,34,14,16,25,4,3,11,124,125,253,0,0,0,1018,1016,2037,37,41,78,31,28,57,1424,1418,2844,329,338,661,3615,3723,7338
101041018,1947,2137,4085,347,419,769,761,853,1607,53,51,102,67,72,139,11,16,28,23,20,39,14,17,29,4,10,16,164,166,331,0,0,0,1094,1191,2287,45,62,102,28,24,58,1517,1702,3219,358,356,710,3818,4192,8011
101041019,2211,2308,4517,520,597,1122,477,556,1033,58,61,115,36,38,73,3,3,13,12,16,27,12,8,23,6,9,13,71,83,152,0,0,0,671,772,1445,45,46,98,13,12,24,1252,1434,2686,377,364,741,3844,4104,7946
101041020,2733,2638,5366,244,255,500,632,661,1295,73,62,136,43,47,95,9,11,26,15,11,29,7,5,12,5,11,17,76,82,156,0,0,0,860,892,1757,19,25,50,27,27,51,1150,1203,2356,363,337,701,4254,4169,8426
101041021,780,769,1548,130,149,280,337,400,738,19,28,47,22,22,42,0,0,7,5,4,14,5,5,8,0,6,3,69,77,150,0,0,0,458,540,995,19,21,37,4,4,12,605,712,1318,157,148,301,1542,1622,3164
101041022,10,6,19,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,3,7,15,10,25
101041023,855,874,1726,163,205,372,203,204,406,64,61,125,7,10,20,8,3,11,8,13,16,0,3,0,4,3,3,13,15,23,0,0,0,305,310,619,7,11,18,9,7,18,493,540,1030,137,160,297,1487,1571,3056
101041024,1024,973,1996,45,36,77,291,328,625,21,14,35,19,9,29,5,6,12,3,7,9,4,4,7,3,3,3,41,37,75,0,0,0,384,401,792,13,17,29,12,11,17,451,459,911,142,130,268,1615,1561,3179
101041025,2572,2733,5304,667,740,1406,692,809,1500,229,240,470,64,65,127,13,10,22,34,44,75,10,13,22,18,15,30,111,123,232,0,0,0,1165,1309,2474,51,70,122,30,27,59,1915,2152,4063,390,468,858,4875,5360,10228
101041026,2329,2266,4592,407,454,860,522,556,1082,40,37,77,47,43,92,3,3,14,10,11,24,0,10,8,3,10,14,95,105,199,0,0,0,732,781,1510,32,42,76,10,18,30,1184,1291,2472,298,317,615,3809,3874,7682
101041027,2324,2376,4698,503,520,1023,607,630,1235,112,125,239,55,53,107,14,15,28,24,19,46,4,5,16,11,5,23,100,120,220,0,0,0,931,976,1911,33,45,78,34,46,77,1502,1588,3088,421,431,846,4241,4396,8638
101051539,5407,5671,11077,1848,1949,3797,1446,1523,2964,44,45,88,97,110,202,22,13,34,31,45,72,10,15,22,8,3,11,143,166,309,3,0,4,1791,1917,3705,212,210,423,37,48,87,3882,4124,8007,1430,944,2377,10719,10739,21456
101051540,3717,3412,7127,403,469,869,1279,1199,2478,25,28,51,33,36,68,10,11,18,12,7,17,4,6,7,0,5,7,79,84,161,0,0,0,1433,1373,2808,45,50,91,25,30,49,1902,1911,3819,566,520,1085,6187,5843,12030
101061541,1657,1780,3435,378,457,835,327,361,682,6,15,24,40,44,87,15,11,24,4,0,3,5,3,11,3,3,6,181,217,397,0,0,3,577,658,1236,44,46,94,8,26,34,1012,1186,2204,211,219,430,2877,3185,6065
101061542,3366,3256,6626,270,295,568,492,533,1021,21,25,46,41,46,90,7,10,16,27,22,52,7,12,20,6,8,14,671,735,1408,0,0,0,1276,1391,2663,56,66,124,20,18,43,1631,1773,3396,408,372,782,5403,5400,10805
