SA2_MAINCODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101021007,491,400,151,37,2155
101021008,588,299,128,30,3543
101021009,636,417,215,125,5563
101021010,344,193,77,16,2498
101021011,1796,965,274,45,9241
101021012,876,333,110,35,6100
101031013,217,148,52,29,1011
101031014,572,449,303,128,3424
101031015,365,281,132,25,1720
101031016,685,387,128,31,3903
101041017,759,728,390,149,3612
101041018,849,920,462,182,4249
101041019,874,539,287,111,4004
101041020,1345,758,215,53,4641
101041021,404,311,206,68,1797
101041022,3,7,0,3,16
101041023,305,260,153,90,1460
101041024,418,348,102,24,1760
101041025,1193,1049,584,243,5549
101041026,1034,838,401,105,4186
101041027,1237,1105,480,213,4804
101051539,1702,1224,696,386,10784
101051540,1275,993,404,103,6231
101061541,489,354,221,145,3097
101061542,1187,744,253,56,6011
101061543,682,615,273,98,4317
101061544,626,511,227,81,3193
102011028,740,474,180,43,3947
102011029,1181,977,412,118,5627
102011030,499,345,122,33,2451
102011031,1200,974,735,544,7020
102011032,1554,989,562,245,9827
102011033,453,194,104,15,3012
102011034,571,499,372,243,3521
102011035,581,326,113,40,3198
102011036,699,378,151,70,3853
102011037,553,436,257,96,3234
102011038,622,471,266,102,3550
102011039,1365,968,394,110,7209
102011040,1836,1736,895,508,11255
102011041,918,597,286,94,5094
102011042,1131,941,519,274,6560
102011043,826,684,418,363,5511
102021044,1622,1214,727,476,10172
102021045,583,355,192,47,4123
102021046,749,574,371,113,4223
102021047,1250,761,378,176,7083
102021048,1492,1178,817,527,9579
102021049,361,183,67,10,1731
102021050,813,800,504,141,4769
102021051,467,229,89,26,2414
102021052,441,420,179,46,2541
102021053,1181,1064,544,234,7067
102021054,823,628,436,239,4559
102021055,352,242,148,48,2413
102021056,729,548,326,106,6255
102021057,596,452,216,68,3733
103011058,1818,1186,613,285,11924
103011059,766,526,241,121,4953
103011060,794,596,177,28,3840
103011061,348,363,131,32,2134
103021062,444,293,168,69,2562
103021063,697,532,308,131,3774
103021064,469,363,158,31,2378
103021065,748,542,327,87,4322
103021066,315,286,125,53,1596
103021067,712,501,298,127,4736
103021068,326,203,88,32,1468
103021069,441,272,178,106,2485
103031070,966,748,451,161,5840
103031071,827,666,200,57,4072
103031072,783,556,323,105,5402
103031073,314,282,137,33,1549
103031074,939,751,304,68,4848
103031075,0,0,0,0,0
103041076,615,417,179,62,3332
103041077,1426,1009,668,268,8883
103041078,1236,840,339,106,9242
103041079,1010,746,261,82,5548
104011080,1412,993,632,315,8171
104011081,1805,1150,371,93,7142
104011082,1805,1555,802,278,8023
104021083,749,451,167,49,3084
104021084,1455,1073,568,257,8156
104021085,865,658,528,401,5295
