SA2_MAINCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
101021007,7,0,25,0,3,6,4,3,0,51,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,3,4,0,25,14,0,8,4,4,3,6,12,3,52,258,286,171,92,127,49,59,66,36,1143
101021008,9,6,57,16,25,11,9,14,3,154,0,0,0,0,0,0,0,0,0,3,11,4,0,0,4,3,4,0,0,34,3,10,14,5,16,10,11,10,13,94,344,515,490,290,423,125,99,125,50,2462
101021009,14,6,83,24,41,22,13,20,0,232,0,0,0,0,0,0,0,3,0,8,6,15,6,13,13,3,3,3,0,51,8,11,7,13,14,4,8,11,12,78,465,929,552,494,618,232,128,203,72,3692
101021010,10,8,38,14,12,21,3,7,3,118,0,0,0,0,0,0,0,0,0,0,0,9,3,3,5,0,3,3,3,30,3,8,5,5,14,0,0,7,5,43,243,472,287,201,283,125,55,86,24,1767
101021011,30,10,68,23,58,18,12,16,10,252,4,4,0,0,0,0,0,0,0,3,19,26,15,13,18,3,3,3,8,106,26,22,41,19,28,9,12,11,15,182,1341,1767,939,504,967,221,160,204,139,6242
101021012,38,4,66,38,49,14,6,9,3,233,0,0,0,0,3,0,0,0,0,5,36,14,3,9,18,3,4,0,6,89,13,12,15,11,19,6,9,16,12,103,1098,1336,585,436,853,172,85,122,96,4781
101031013,10,0,6,7,6,5,0,5,0,33,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,8,4,3,3,4,4,0,13,7,0,40,163,106,79,48,58,20,68,48,14,608
101031014,12,0,37,10,16,6,4,16,0,104,0,0,0,0,0,0,0,0,0,0,4,3,3,9,3,0,3,0,0,29,17,3,15,10,10,9,5,17,11,92,249,432,311,248,219,122,82,140,30,1830
101031015,3,0,13,9,3,4,0,4,0,44,0,0,0,0,0,0,0,0,0,3,6,0,0,3,3,3,0,3,3,25,14,0,5,3,9,0,4,7,3,52,276,192,143,86,128,40,40,86,13,1008
101031016,43,0,76,35,17,22,4,14,0,209,0,0,0,0,0,0,0,0,0,3,8,6,4,8,4,0,0,3,3,39,21,4,10,13,8,15,10,10,15,107,523,456,490,354,280,203,107,231,55,2692
