SA2_MAINCODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
101021007,18,21,12,9,13,0,4,6,3,87,14,9,9,14,14,5,4,5,3,86,83,18,109,37,31,16,37,37,13,375,5,4,0,3,9,3,0,6,0,25,14,5,7,7,13,3,3,4,3,49,3,4,3,0,4,0,0,0,0,21,12,3,11,3,5,3,4,8,8,53,258,286,171,92,127,49,59,66,36,1143
101021008,28,33,13,17,42,5,0,4,0,142,50,44,32,66,75,16,3,8,6,302,83,50,406,104,139,55,72,79,16,1008,6,8,3,11,12,6,3,7,0,64,15,10,5,21,28,11,0,11,0,98,3,3,4,0,9,3,0,3,0,25,4,3,7,6,12,8,11,12,17,86,344,515,490,290,423,125,99,125,50,2462
101021009,44,44,23,33,38,21,4,8,3,222,45,73,55,88,99,23,8,18,4,413,88,58,396,153,189,89,65,86,27,1139,0,7,8,17,34,15,3,15,0,92,13,11,3,17,29,10,4,18,0,102,3,13,3,6,6,4,3,5,0,45,3,10,0,16,10,3,10,11,10,68,465,929,552,494,618,232,128,203,72,3692
101021010,11,20,17,26,29,7,5,4,0,114,28,41,22,25,38,21,13,7,3,194,56,29,194,61,75,38,29,40,12,521,4,3,3,8,10,6,0,5,0,49,4,4,0,3,12,5,3,0,0,35,4,3,5,0,0,3,0,0,0,14,5,4,10,4,17,3,0,6,3,47,243,472,287,201,283,125,55,86,24,1767
101021011,104,117,42,60,98,15,7,8,10,458,133,126,65,102,186,34,8,18,13,676,279,122,713,156,255,68,115,114,37,1861,16,5,7,17,36,17,4,8,3,109,26,22,14,17,58,21,9,9,7,175,13,12,3,10,13,0,3,0,4,59,19,33,26,16,24,13,8,10,9,158,1341,1767,939,504,967,221,160,204,139,6242
101021012,96,86,26,52,79,17,3,5,9,370,121,98,35,77,130,37,8,4,14,524,187,79,459,152,243,65,55,68,9,1325,3,8,5,12,31,6,3,0,0,74,24,14,0,15,56,3,3,3,0,130,13,10,0,3,12,3,0,0,3,46,12,6,8,8,19,0,3,10,4,78,1098,1336,585,436,853,172,85,122,96,4781
101031013,18,9,0,4,4,0,0,3,0,49,17,6,0,9,10,0,0,0,0,47,60,15,64,19,28,17,41,24,4,271,6,0,3,4,0,0,0,5,0,23,7,0,0,0,8,4,3,0,0,31,0,0,0,0,0,0,0,0,0,4,5,0,6,3,9,0,14,6,3,44,163,106,79,48,58,20,68,48,14,608
101031014,10,20,9,22,15,10,0,3,3,98,21,28,13,46,32,15,3,4,3,168,94,36,250,105,94,53,59,92,8,796,7,0,3,12,6,12,3,6,0,48,8,3,3,14,14,9,7,3,0,63,0,5,6,3,4,3,0,3,0,17,16,7,12,15,13,12,3,14,10,102,249,432,311,248,219,122,82,140,30,1830
101031015,19,14,8,11,16,0,0,7,3,78,25,8,11,13,23,10,3,5,0,95,96,14,100,39,35,23,27,47,3,378,4,6,0,3,8,0,0,6,0,28,13,0,3,3,9,3,3,5,0,47,7,0,0,0,0,3,0,0,0,12,15,0,5,6,12,4,8,11,3,66,276,192,143,86,128,40,40,86,13,1008
101031016,46,21,14,34,29,17,3,18,0,182,49,34,26,48,38,32,7,17,4,250,199,30,402,130,88,73,72,105,18,1115,20,3,3,9,19,3,4,15,0,71,15,5,10,16,22,14,0,17,3,107,3,3,3,11,7,5,0,11,0,39,22,8,7,15,12,12,11,8,9,95,523,456,490,354,280,203,107,231,55,2692
101041017,22,25,11,11,11,5,0,3,0,101,25,15,7,26,31,9,0,3,0,122,83,28,273,98,69,65,43,66,18,740,3,4,3,11,15,7,5,11,0,55,14,10,10,19,21,19,0,3,0,87,5,4,0,3,3,3,0,0,0,24,7,3,10,17,9,8,3,17,3,88,218,268,331,222,187,140,52,114,25,1552
101041018,21,38,8,21,9,13,0,0,4,115,25,36,14,34,31,8,3,5,7,160,82,47,243,140,68,90,39,67,9,794,3,0,7,6,17,9,4,9,0,52,16,6,5,23,18,10,0,15,0,92,0,0,3,4,6,4,3,0,0,16,9,9,8,3,3,10,3,15,16,81,226,445,313,282,207,151,59,124,46,1842
101041019,19,50,7,40,18,4,0,11,0,149,15,27,23,38,29,18,4,11,0,164,96,33,306,109,91,67,55,153,4,906,10,3,0,9,14,11,5,12,0,64,6,3,11,15,18,3,0,10,0,68,4,3,5,0,4,0,0,0,0,19,11,13,15,9,12,14,3,17,3,93,226,613,385,286,259,134,73,232,12,2209
101041020,33,50,8,30,32,5,3,4,0,174,49,36,16,60,20,4,0,10,5,205,167,33,356,116,81,42,74,131,20,1024,13,5,12,7,10,9,8,15,0,82,23,8,14,19,27,12,4,13,0,121,7,3,6,6,3,3,0,0,0,28,19,11,9,7,8,16,10,23,8,112,453,549,449,303,233,108,111,228,41,2480
101041021,7,20,7,17,13,3,0,3,0,69,13,19,4,16,13,10,4,3,3,80,36,11,135,45,44,22,19,19,4,341,0,0,0,3,4,6,0,0,0,16,5,0,5,8,4,4,0,3,0,28,0,0,0,0,0,0,0,0,0,7,0,4,0,3,7,3,0,4,3,26,113,247,166,108,103,50,27,40,14,864
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
101041023,4,9,3,6,7,11,0,3,0,46,10,3,6,21,9,9,0,4,0,57,25,12,114,45,22,19,32,33,3,304,3,0,3,3,0,0,0,3,0,18,3,6,0,3,3,0,0,6,0,28,0,0,0,3,0,0,0,0,0,11,9,0,5,6,3,3,6,7,3,41,61,108,135,104,57,51,43,67,7,634
101041024,20,15,5,11,14,0,3,4,0,75,15,12,10,18,10,3,4,3,0,85,56,17,144,59,36,9,37,57,11,428,3,0,3,6,9,3,0,10,0,33,6,0,3,4,7,9,3,10,0,41,3,0,3,0,0,0,3,0,0,10,8,3,9,0,3,7,0,4,0,31,144,174,193,120,93,35,56,89,17,926
101041025,35,53,10,36,27,15,3,3,3,188,36,29,23,61,43,21,3,16,3,229,132,45,426,140,85,103,60,122,21,1138,9,3,7,6,23,14,0,14,0,73,16,8,10,27,28,13,8,11,0,119,4,6,4,0,8,0,0,0,0,27,14,12,21,15,7,16,3,15,3,108,381,601,523,362,280,217,84,202,37,2679
101041026,20,37,13,29,16,6,4,6,4,137,10,29,20,38,37,12,6,10,0,173,91,29,294,117,93,61,61,87,7,840,0,0,3,11,13,3,3,12,0,52,12,6,0,20,12,11,3,11,0,72,0,0,0,3,8,3,0,0,0,18,9,12,15,9,3,8,0,7,7,75,217,454,373,262,225,126,80,144,30,1909
101041027,23,39,12,26,15,9,3,11,3,138,24,26,10,46,22,19,3,11,0,159,109,35,311,103,63,58,49,92,10,823,3,12,4,10,3,9,3,10,0,60,14,9,3,23,18,16,0,9,3,89,3,3,3,0,5,0,0,5,0,23,9,9,6,10,5,12,3,17,9,84,261,454,371,258,182,151,68,166,32,1937
101051539,63,118,28,86,43,17,9,7,9,376,103,111,49,223,118,48,12,23,5,696,268,99,810,500,275,171,248,239,39,2641,8,5,19,41,44,32,7,31,0,173,25,18,15,56,69,24,14,24,3,240,7,5,0,8,14,4,3,3,0,47,15,20,16,40,31,26,32,34,14,235,676,1291,995,1111,688,372,336,391,89,5958
101051540,85,67,16,45,33,12,9,9,3,280,78,47,28,90,70,16,3,18,9,358,301,58,517,208,137,65,160,136,24,1598,15,4,11,6,18,8,3,8,0,77,30,4,4,30,49,16,14,16,0,162,5,0,3,6,4,4,3,3,0,32,50,10,17,19,25,7,16,29,15,185,801,702,626,468,410,142,220,244,54,3661
101061541,26,22,15,27,18,7,3,3,3,121,36,29,13,61,28,12,0,7,3,184,87,39,252,98,98,20,54,62,14,735,4,0,3,8,21,3,3,4,0,42,9,4,10,26,25,10,3,9,0,98,0,8,0,3,4,0,0,0,0,17,7,3,5,12,10,6,4,7,7,65,275,478,319,284,265,78,79,95,40,1908
101061542,101,66,25,15,74,14,4,15,8,317,99,73,29,56,87,18,3,11,9,376,239,75,381,116,120,51,83,105,22,1189,14,6,3,8,14,0,4,13,0,68,24,13,8,10,32,5,7,14,4,113,10,4,4,4,4,3,0,0,0,30,30,10,21,20,19,15,11,13,15,148,1086,1120,531,348,558,130,109,202,71,4157
