SA2_MAINCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
101021007,19,56,7,22,4,120,16,4,25,21,34,0,102,8,3,15,3,12,0,35,0,0,6,9,32,5,51,3,0,4,8,28,9,62,112,53,277,168,455,74,1143
101021008,24,69,27,54,3,202,13,22,75,73,104,12,302,3,3,8,8,10,0,31,0,3,13,13,84,3,113,0,0,5,6,57,26,91,153,109,474,451,1162,105,2462
101021009,29,134,36,43,3,293,41,34,195,99,147,20,525,3,5,21,11,19,0,54,6,0,20,24,80,4,134,12,0,17,13,64,16,128,375,180,1046,643,1330,113,3692
101021010,10,67,19,21,4,153,28,13,91,45,41,15,231,0,0,5,3,7,0,20,3,0,5,8,47,3,72,8,0,7,7,25,12,61,218,76,496,309,600,64,1767
101021011,78,226,84,86,17,599,77,56,223,130,116,21,629,12,0,28,14,20,0,74,9,3,33,27,160,9,250,11,8,39,20,99,29,207,739,351,1638,1146,2144,223,6242
101021012,50,179,63,68,6,439,45,30,168,97,102,4,453,3,3,19,10,21,0,58,6,0,26,33,115,0,181,12,3,15,22,56,13,120,681,286,1266,907,1521,121,4781
101031013,6,30,11,7,0,59,0,0,17,16,27,0,61,0,0,0,0,3,0,3,0,0,0,0,18,0,16,0,0,0,0,11,3,18,19,11,114,89,324,47,608
101031014,17,88,25,40,6,190,26,18,83,49,97,15,287,0,0,9,4,9,0,22,0,3,10,3,64,3,86,3,4,4,3,15,13,47,97,57,378,271,908,118,1830
101031015,4,50,12,25,0,97,6,3,31,22,30,3,93,0,3,0,0,3,0,11,0,0,8,7,31,0,39,0,0,3,6,13,9,29,59,21,224,170,458,73,1008
101031016,25,118,29,54,7,262,19,16,67,40,40,11,184,15,9,72,44,168,15,323,3,0,4,12,59,0,83,0,0,10,17,43,16,87,131,79,618,438,1292,135,2692
101041017,20,44,14,28,7,127,15,14,64,48,125,11,271,0,0,3,4,6,0,12,3,0,10,8,70,3,97,0,0,7,8,33,8,62,50,48,239,225,882,105,1552
