SA2_MAINCODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
101021007,3,11,9,3,3,11,3,13,3,69,3,11,3,10,10,12,7,10,26,93,64,201,165,197,203,275,159,334,49,1646
101021008,8,19,17,21,27,34,28,15,3,169,6,13,8,17,32,31,9,21,51,183,145,366,298,425,1021,881,435,514,95,4184
101021009,4,20,13,11,45,36,23,27,0,188,6,16,11,16,46,37,13,24,64,244,219,416,382,585,1490,1130,571,695,119,5612
101021010,3,5,7,13,26,15,15,15,0,99,0,5,7,8,17,20,7,12,20,90,88,197,192,245,659,566,280,376,43,2647
101021011,10,34,18,38,53,65,43,61,7,330,15,34,29,26,46,58,17,59,56,341,437,808,609,855,1654,1819,1001,1492,135,8814
101021012,3,20,23,21,49,59,28,34,0,247,4,20,11,15,40,47,13,27,38,204,264,673,503,636,1404,1516,866,1178,84,7125
101031013,0,3,0,3,4,7,3,5,0,31,3,3,0,3,9,7,6,0,5,36,41,114,109,101,157,129,125,260,27,1067
101031014,3,18,4,4,19,27,12,18,0,107,3,11,8,3,9,9,8,11,32,96,108,338,290,387,613,427,235,447,62,2901
101031015,0,5,3,4,7,8,3,14,0,50,3,11,5,7,5,6,3,5,11,60,60,185,134,169,249,290,102,349,27,1570
101031016,3,5,4,16,16,27,11,23,4,117,8,9,10,12,17,18,11,24,26,127,128,339,330,463,588,571,443,952,95,3899
101041017,3,20,6,22,25,14,6,28,3,122,5,21,9,16,12,15,6,11,19,116,117,374,323,388,475,365,173,282,43,2540
101041018,3,20,15,12,10,26,13,17,3,129,4,21,13,13,16,23,3,4,30,115,124,476,345,416,517,389,201,335,63,2862
101041019,0,12,13,11,27,17,9,24,4,109,3,3,11,10,11,13,3,16,32,97,166,451,389,491,675,562,279,408,65,3480
101041020,0,18,17,15,19,25,10,12,0,114,6,22,13,8,21,16,10,23,45,165,175,530,426,537,561,503,301,578,91,3709
101041021,0,8,4,9,7,6,3,8,0,43,0,0,0,3,6,9,3,3,15,42,39,169,140,179,231,204,93,142,24,1235
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,11
101041023,0,6,6,3,7,5,6,16,0,57,4,5,3,3,9,6,9,5,17,62,49,178,119,176,183,154,91,181,22,1152
101041024,0,5,12,9,6,16,0,7,0,61,0,10,5,4,4,3,5,0,10,39,62,217,186,208,231,207,86,178,23,1398
101041025,14,20,16,13,27,26,11,20,0,149,3,14,15,10,19,10,3,14,25,121,208,598,470,600,734,568,307,538,69,4098
101041026,3,12,13,8,21,15,3,12,0,96,6,20,4,17,10,18,3,10,39,131,129,451,356,432,529,392,176,324,79,2875
101041027,0,24,8,19,13,17,11,16,3,113,8,15,8,9,12,12,9,4,29,100,112,486,394,451,429,370,182,344,69,2841
101051539,7,47,35,41,90,74,37,64,3,397,20,26,19,32,62,49,21,50,77,363,371,958,969,1187,2306,1603,796,1326,186,9708
101051540,4,29,18,24,45,44,17,37,3,212,13,22,11,11,21,36,15,33,42,211,227,615,587,679,909,963,427,1180,124,5701
101061541,3,19,10,16,21,27,14,17,0,125,13,6,6,3,18,6,12,18,20,112,140,313,279,327,608,511,269,446,64,2961
101061542,8,20,7,25,36,45,25,26,0,185,13,21,16,21,27,33,11,31,52,222,269,612,503,648,1005,1130,570,1137,141,6019
101061543,11,28,10,13,50,27,18,24,3,195,5,32,15,20,27,27,10,25,51,211,155,523,421,561,790,646,353,639,102,4189
101061544,5,16,11,11,11,18,10,15,0,93,5,15,11,8,15,14,6,10,34,127,108,335,304,328,467,497,268,734,75,3109
102011028,3,18,9,12,17,19,14,12,0,105,7,13,11,4,13,29,11,29,19,136,117,516,450,424,474,737,327,543,49,3630
102011029,5,32,21,24,39,30,17,21,0,185,8,22,19,27,28,26,9,25,33,199,196,696,572,567,735,884,334,697,60,4743
102011030,3,7,9,4,18,10,8,16,0,77,3,14,8,8,11,25,9,28,22,126,73,251,219,218,313,409,198,515,54,2249
102011031,3,28,17,31,38,51,25,30,4,221,9,29,15,17,27,52,18,23,37,217,179,818,647,665,955,1005,462,806,91,5625
102011032,10,51,48,36,89,56,38,37,0,363,13,31,17,20,58,52,23,34,62,306,284,954,880,991,1788,1681,775,1014,130,8506
102011033,5,10,11,14,34,42,12,22,3,151,3,5,14,6,21,31,8,8,20,111,92,346,321,334,633,646,295,444,41,3156
102011034,4,16,16,15,25,16,11,17,3,122,6,14,10,7,12,18,5,20,34,138,125,371,380,329,546,548,236,361,58,2944
102011035,6,22,14,12,21,20,20,23,0,138,4,8,7,15,32,35,7,17,25,141,118,379,323,433,692,639,258,389,52,3294
102011036,4,19,17,20,27,37,24,25,3,175,4,16,15,11,21,23,8,18,27,144,126,478,429,428,761,755,373,486,60,3910
102011037,3,20,9,6,20,17,11,7,0,105,0,11,8,5,24,23,10,16,12,107,102,371,307,305,481,570,271,357,42,2814
102011038,0,22,20,14,31,29,10,17,3,143,3,8,3,15,22,26,4,13,12,123,108,387,375,399,522,649,273,431,43,3185
102011039,7,56,29,20,46,42,16,37,3,249,13,24,22,13,22,29,14,33,46,219,222,852,733,714,1020,1279,564,1086,93,6574
102011040,17,58,54,49,84,65,39,49,4,415,19,44,30,35,62,74,21,42,101,426,344,1111,1073,1122,1802,1743,707,1068,201,9178
102011041,3,23,26,24,24,19,14,27,7,164,3,24,6,10,21,28,11,24,28,159,197,647,516,572,676,883,406,698,81,4678
102011042,11,29,26,21,50,45,15,15,0,217,5,22,17,17,40,45,20,23,62,253,209,594,588,658,1065,1032,414,608,131,5289
