SA2_MAINCODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
101021007,0,0,0,27,0,0,0,0,0,0,0,0,0,3,36,49,3,0,0,0,0,0,0,0,0,4,4,11,94,29,4,72,3,36,3,41,5,167,49,511
101021008,0,0,0,42,4,0,0,0,0,0,0,0,0,3,33,44,0,0,0,0,0,0,0,0,0,3,3,14,216,14,3,106,8,76,0,39,8,195,39,723
101021009,0,5,0,60,3,0,0,0,0,3,3,0,3,6,55,75,0,0,0,0,0,0,0,0,3,13,3,22,315,36,12,156,18,112,14,51,16,267,74,1063
101021010,0,3,0,44,0,0,0,0,0,0,0,0,0,0,25,28,0,0,0,0,0,0,0,0,0,0,0,4,179,10,0,62,12,49,3,41,0,91,23,483
101021011,4,11,0,250,4,0,0,3,0,3,0,3,0,4,98,125,3,0,0,3,0,0,0,0,0,9,8,25,524,70,18,227,46,203,10,120,26,453,112,1805
101021012,0,0,0,149,9,0,0,0,0,0,0,0,0,0,55,68,0,0,0,0,0,0,0,0,0,0,3,3,361,24,12,127,27,109,9,42,6,219,60,1000
101031013,0,0,0,4,0,0,0,0,0,0,0,0,0,3,12,19,0,0,0,0,0,0,0,0,0,5,0,10,63,15,3,35,11,22,3,18,3,100,15,291
101031014,3,3,0,23,0,0,0,3,0,0,0,0,0,8,48,68,0,0,0,0,0,0,0,0,0,4,7,18,144,38,3,97,11,55,6,51,9,274,68,759
101031015,0,0,0,23,4,0,0,0,0,0,0,3,0,3,26,37,0,0,0,0,0,0,0,0,0,0,4,5,110,33,6,70,8,38,5,25,8,159,33,478
101031016,0,3,0,26,0,0,0,4,0,0,0,4,0,3,54,70,3,0,0,0,0,0,0,0,0,0,0,4,215,44,3,103,9,42,9,39,8,158,60,697
101041017,0,0,0,19,0,0,0,0,0,0,0,3,0,11,59,77,0,0,0,0,0,0,0,0,0,20,9,28,97,41,7,81,3,61,11,84,19,575,75,1050
101041018,0,4,0,16,0,0,0,0,0,0,0,0,0,12,65,77,0,0,0,0,0,0,0,0,0,20,6,34,106,68,11,107,12,76,6,107,8,702,83,1289
101041019,0,6,0,26,3,0,0,0,0,3,0,3,0,9,54,72,3,0,0,0,0,0,0,0,0,11,9,25,133,52,12,122,14,82,0,76,16,403,74,975
101041020,0,3,0,21,0,0,0,3,0,7,0,3,0,10,89,110,0,0,0,0,0,0,0,0,0,11,8,25,171,90,17,160,12,121,23,132,22,466,108,1312
101041021,0,0,0,12,0,0,0,0,0,0,0,0,0,3,26,28,0,0,0,0,0,0,0,0,0,10,4,16,47,22,6,39,3,28,0,25,3,245,27,443
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
101041023,0,0,0,3,0,0,0,0,0,0,0,0,0,7,19,28,0,0,0,0,0,0,0,0,0,9,0,8,39,23,3,50,6,32,3,40,8,172,27,400
101041024,0,0,0,13,0,0,0,0,0,0,0,3,0,6,19,27,0,0,0,0,0,0,0,0,0,5,0,6,51,43,4,57,3,50,0,51,7,199,17,481
101041025,4,5,0,40,0,3,3,3,0,0,0,3,0,18,71,103,0,5,0,0,0,0,0,0,0,14,16,30,164,86,16,170,13,84,15,136,20,841,105,1650
101041026,0,3,0,28,0,0,0,0,0,0,0,0,0,17,53,77,3,0,0,0,0,0,0,0,3,9,9,26,108,45,4,101,7,83,8,120,33,685,71,1263
101041027,0,14,0,23,5,0,0,3,0,3,0,6,0,18,66,98,6,0,0,3,0,0,0,3,0,20,15,38,112,88,10,130,12,65,15,140,15,830,88,1502
101051539,0,11,0,71,9,0,0,4,3,3,0,0,3,34,94,157,3,0,0,5,0,0,0,0,0,32,21,57,430,77,6,338,38,202,11,162,20,839,132,2256
101051540,0,4,0,66,3,0,0,4,0,3,0,3,0,21,86,123,0,0,0,4,0,0,0,0,0,20,13,48,301,88,16,263,30,167,14,117,20,549,113,1667
101061541,4,0,0,39,0,0,0,0,0,4,0,0,0,5,31,48,0,0,0,0,0,0,0,0,0,10,4,12,138,22,9,74,3,57,3,47,12,252,44,659
101061542,0,11,0,176,4,0,0,0,0,7,0,0,3,4,70,94,3,0,0,0,0,0,0,0,0,3,10,18,375,75,19,199,23,144,21,92,29,309,85,1373
101061543,0,0,0,21,0,0,0,3,0,11,0,3,0,12,34,63,0,0,0,0,0,0,0,0,0,5,10,24,165,50,9,150,10,100,6,89,13,437,63,1082
101061544,0,5,0,46,4,0,0,0,0,0,0,0,0,10,42,52,3,0,0,0,3,0,0,0,0,12,8,29,204,35,10,149,7,90,3,66,5,347,65,981
102011028,0,7,0,43,0,0,0,0,0,0,0,0,0,6,44,52,0,0,0,0,0,0,0,0,0,3,0,12,114,37,6,78,9,64,6,58,7,247,47,669
102011029,0,14,0,90,0,0,0,0,0,4,0,0,0,12,55,74,0,0,0,0,0,0,0,0,0,18,12,37,156,60,14,127,7,107,10,130,17,644,74,1352
102011030,0,3,0,42,0,0,0,0,0,0,0,0,0,3,30,36,0,3,0,0,0,0,0,0,0,3,0,14,106,26,4,67,11,62,0,28,4,165,39,515
