ASGS_Structure,Census_Code_2016,AGSS_Code_2016,Census_Name_2016,Area sqkm
AUS,036,036,AUSTRALIA,7688126.32
STE,1,1,New South Wales,800810.7823
STE,2,2,Victoria,227495.6304
STE,3,3,Queensland,1730172.083
STE,4,4,South Australia,984274.908
STE,5,5,Western Australia,2526646.239
STE,6,6,Tasmania,68017.8607
STE,7,7,Northern Territory,1348094.328
STE,8,8,Australian Capital Territory,2358.172
STE,9,9,Other Territories,256.3162
SA4,101,101,Capital Region,51895.5631
SA4,102,102,Central Coast,1681.0724
SA4,103,103,Central West,70297.0604
SA4,104,104,Coffs Harbour - Grafton,13229.7578
SA4,105,105,Far West and Orana,339363.6925
SA4,106,106,Hunter Valley exc Newcastle,21491.2915
SA4,107,107,Illawarra,1538.919
SA4,108,108,Mid North Coast,18851.4995
SA4,109,109,Murray,97797.6754
SA4,110,110,New England and North West,99145.9163
SA4,111,111,Newcastle and Lake Macquarie,870.612
SA4,112,112,Richmond - Tweed,10271.1425
SA4,113,113,Riverina,56985.0189
SA4,114,114,Southern Highlands and Shoalhaven,6704.4401
SA4,115,115,Sydney - Baulkham Hills and Hawkesbury,3251.4985
SA4,116,116,Sydney - Blacktown,242.0851
SA4,117,117,Sydney - City and Inner South,65.5318
SA4,118,118,Sydney - Eastern Suburbs,57.733
SA4,119,119,Sydney - Inner South West,163.9352
SA4,120,120,Sydney - Inner West,64.5481
SA4,121,121,Sydney - North Sydney and Hornsby,275.095
SA4,122,122,Sydney - Northern Beaches,254.2074
SA4,123,123,Sydney - Outer South West,1278.4513
SA4,124,124,Sydney - Outer West and Blue Mountains,3968.129
SA4,125,125,Sydney - Parramatta,161.6358
SA4,126,126,Sydney - Ryde,69.3369
SA4,127,127,Sydney - South West,539.0686
SA4,128,128,Sydney - Sutherland,295.8652
SA4,197,197,Migratory - Offshore - Shipping (NSW),0
SA4,199,199,No usual address (NSW),0
SA4,201,201,Ballarat,10287.4759
SA4,202,202,Bendigo,11841.9062
SA4,203,203,Geelong,4428.6993
SA4,204,204,Hume,34005.5354
SA4,205,205,Latrobe - Gippsland,41553.7517
SA4,206,206,Melbourne - Inner,142.3595
SA4,207,207,Melbourne - Inner East,146.7432
SA4,208,208,Melbourne - Inner South,161.4966
SA4,209,209,Melbourne - North East,1851.2645
SA4,210,210,Melbourne - North West,1619.69
SA4,211,211,Melbourne - Outer East,1878.5576
SA4,212,212,Melbourne - South East,1922.2805
SA4,213,213,Melbourne - West,1416.354
SA4,214,214,Mornington Peninsula,853.7659
SA4,215,215,North West,78072.7365
SA4,216,216,Shepparton,10934.1051
SA4,217,217,Warrnambool and South West,26378.9085
SA4,297,297,Migratory - Offshore - Shipping (Vic.),0
SA4,299,299,No usual address (Vic.),0
SA4,301,301,Brisbane - East,653.1326
SA4,302,302,Brisbane - North,186.949
SA4,303,303,Brisbane - South,265.3446
SA4,304,304,Brisbane - West,269.6511
SA4,305,305,Brisbane Inner City,81.7394
SA4,306,306,Cairns,21337.9683
SA4,307,307,Darling Downs - Maranoa,166340.0568
SA4,308,308,Central Queensland,117588.0014
SA4,309,309,Gold Coast,1857.8854
SA4,310,310,Ipswich,6681.1469
SA4,311,311,Logan - Beaudesert,2586.1453
SA4,312,312,Mackay - Isaac - Whitsunday,90140.106
SA4,313,313,Moreton Bay - North,4344.4565
SA4,314,314,Moreton Bay - South,773.3949
SA4,315,315,Queensland - Outback,1183182.72
SA4,316,316,Sunshine Coast,3085.9114
SA4,317,317,Toowoomba,2258.7955
SA4,318,318,Townsville,80036.0977
SA4,319,319,Wide Bay,48502.5801
SA4,397,397,Migratory - Offshore - Shipping (Qld),0
SA4,399,399,No usual address (Qld),0
SA4,401,401,Adelaide - Central and Hills,1497.2718
SA4,402,402,Adelaide - North,939.9927
SA4,403,403,Adelaide - South,663.0814
SA4,404,404,Adelaide - West,159.49
SA4,405,405,Barossa - Yorke - Mid North,37716.3532
SA4,406,406,South Australia - Outback,877815.9801
SA4,407,407,South Australia - South East,65482.7388
SA4,497,497,Migratory - Offshore - Shipping (SA),0
SA4,499,499,No usual address (SA),0
SA4,501,501,Bunbury,24802.4115
SA4,502,502,Mandurah,1032.8628
SA4,503,503,Perth - Inner,92.2398
SA4,504,504,Perth - North East,1762.4316
SA4,505,505,Perth - North West,883.9992
SA4,506,506,Perth - South East,2023.9923
SA4,507,507,Perth - South West,620.696
SA4,509,509,Western Australia - Wheat Belt,197345.3766
SA4,510,510,Western Australia - Outback (North),926049.6594
SA4,511,511,Western Australia - Outback (South),1372032.57
SA4,597,597,Migratory - Offshore - Shipping (WA),0
SA4,599,599,No usual address (WA),0
SA4,601,601,Hobart,1695.3585
SA4,602,602,Launceston and North East,19975.336
SA4,603,603,South East,23822.0167
SA4,604,604,West and North West,22525.1495
SA4,697,697,Migratory - Offshore - Shipping (Tas.),0
SA4,699,699,No usual address (Tas.),0
SA4,701,701,Darwin,3163.9057
SA4,702,702,Northern Territory - Outback,1344930.422
SA4,797,797,Migratory - Offshore - Shipping (NT),0
SA4,799,799,No usual address (NT),0
SA4,801,801,Australian Capital Territory,2358.172
SA4,897,897,Migratory - Offshore - Shipping (ACT),0
SA4,899,899,No usual address (ACT),0
SA4,901,901,Other Territories,256.3162
SA4,997,997,Migratory - Offshore - Shipping (OT),0
SA4,999,999,No usual address (OT),0
SA3,10102,10102,Queanbeyan,6511.1906
SA3,10103,10103,Snowy Mountains,14283.4221
SA3,10104,10104,South Coast,9864.868
