SAL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,8
SAL10002,10,0,12,11,15,5,0,5,3,62,0,0,0,0,0,0,0,0,0,3,6,4,3,0,7,0,0,0,0,16,0,0,5,5,0,0,0,0,0,22,233,425,200,101,226,85,47,50,21,1372
SAL10003,9,0,9,0,16,8,0,0,0,50,0,0,0,0,0,0,0,0,0,4,10,5,6,3,0,4,0,0,0,28,4,4,0,7,5,3,0,4,11,40,523,910,167,91,297,134,24,36,40,2219
SAL10004,4,3,6,7,5,3,3,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,130,63,45,68,26,15,24,0,463
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SAL10006,4,4,18,13,0,4,3,12,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,42,81,141,143,66,36,69,58,15,647
SAL10007,5,0,10,5,0,4,6,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,10,0,0,6,0,0,0,4,0,0,14,44,69,155,62,50,14,83,55,11,537
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,25,7,4,3,6,4,4,5,0,42
SAL10009,9,5,52,41,22,16,14,18,3,173,0,0,0,0,0,4,0,0,0,4,3,3,0,3,9,4,4,4,0,28,4,0,10,11,4,0,14,3,7,50,230,472,468,374,282,113,185,100,32,2255
SAL10010,5,0,19,7,3,9,4,8,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,3,0,0,0,7,0,4,23,61,91,170,96,88,32,77,53,5,675
