SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,8
SAL10002,16,24,7,9,25,4,3,5,4,97,29,19,10,23,37,7,7,0,3,146,48,26,139,29,46,23,23,28,8,371,5,4,4,0,14,3,0,0,0,27,14,10,8,7,19,8,3,3,0,65,6,5,0,0,0,4,3,4,0,20,3,3,4,0,3,3,3,0,0,30,233,425,200,101,226,85,47,50,21,1372
SAL10003,43,33,8,4,31,10,4,0,0,137,29,41,16,22,29,23,4,0,3,176,68,29,91,22,46,23,13,12,5,312,6,3,0,0,3,5,0,0,0,20,10,7,6,0,28,15,4,0,0,72,5,4,3,0,6,4,0,0,0,30,9,7,3,0,5,5,0,8,4,39,523,910,167,91,297,134,24,36,40,2219
SAL10004,4,5,0,5,5,3,0,0,0,20,11,6,5,10,7,4,0,0,0,46,33,9,54,21,26,14,17,14,0,180,0,0,0,0,5,0,0,0,0,9,0,0,0,0,4,0,0,4,0,12,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,5,86,130,63,45,68,26,15,24,0,463
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SAL10006,6,8,4,8,4,0,0,5,0,29,8,7,11,17,13,8,4,4,0,72,18,10,115,89,41,18,58,42,7,396,0,0,0,5,3,4,3,10,0,32,0,0,0,9,3,0,4,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,15,42,81,141,143,66,36,69,58,15,647
SAL10007,0,6,0,5,0,0,0,0,0,19,0,0,7,12,8,0,7,9,0,36,20,13,132,32,26,9,75,34,4,346,0,0,5,0,4,0,0,4,0,15,3,0,5,4,3,0,0,7,0,20,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,12,44,69,155,62,50,14,83,55,11,537
SAL10008,4,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,4,3,6,4,4,5,0,42
SAL10009,19,32,13,24,15,5,0,5,0,105,29,47,19,86,44,14,23,9,3,275,90,51,407,189,137,58,141,62,16,1154,0,0,5,9,11,10,10,8,0,66,7,0,5,8,17,0,3,6,0,56,0,0,0,0,5,0,0,0,0,11,4,3,0,9,7,0,5,4,7,42,230,472,468,374,282,113,185,100,32,2255
SAL10010,7,0,4,0,3,5,0,0,0,18,12,17,5,14,10,3,3,5,0,69,32,14,160,58,56,18,56,38,0,426,3,0,0,0,7,3,0,5,0,22,0,0,0,10,4,0,10,4,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,3,6,0,5,0,4,16,61,91,170,96,88,32,77,53,5,675
