SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,12
SAL10002,0,10,22,12,10,11,0,0,0,63,6,12,15,12,23,29,7,0,0,101,128,234,364,281,440,472,103,7,0,2037
SAL10003,0,4,18,23,26,15,11,0,0,91,3,8,24,27,33,13,10,3,0,120,83,155,463,616,636,494,231,30,0,2701
SAL10004,0,0,6,3,3,0,0,0,0,16,0,5,5,0,4,0,0,0,0,14,61,39,101,136,155,114,23,0,0,618
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,10
SAL10006,5,10,15,9,5,0,0,0,0,46,0,8,11,14,7,5,0,0,0,37,80,107,271,205,233,157,18,0,0,1078
SAL10007,4,11,14,3,8,12,0,0,0,46,0,4,9,0,9,3,0,0,0,33,70,89,186,178,191,171,39,10,0,947
SAL10008,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,5,7,10,11,12,15,6,0,71
SAL10009,12,19,48,30,22,19,0,0,0,155,3,12,31,31,21,11,3,0,0,119,245,331,842,838,648,396,61,3,0,3372
SAL10010,6,7,18,4,6,4,0,0,0,40,6,5,8,7,9,5,0,0,0,46,66,110,261,230,216,181,25,3,0,1094
