SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,5,0,12
SAL10002,23,3,4,5,13,17,3,4,0,63,11,13,17,3,15,13,3,7,18,101,358,227,187,116,443,398,86,189,36,2037
SAL10003,16,12,9,6,10,18,7,11,0,91,11,17,8,3,19,24,3,22,21,120,227,368,243,158,426,604,199,431,41,2701
SAL10004,0,0,3,6,6,3,0,0,0,16,0,0,0,0,5,5,0,0,0,14,34,84,61,42,145,109,47,99,0,618
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10
SAL10006,4,6,4,9,16,9,0,0,0,46,0,6,4,3,6,10,3,7,4,37,90,188,114,93,220,203,50,116,13,1078
SAL10007,0,3,0,0,16,12,3,5,0,46,0,5,0,0,0,5,4,3,14,33,52,112,100,75,203,171,58,156,26,947
SAL10008,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,6,0,8,9,4,10,14,4,22,0,71
SAL10009,11,14,28,16,34,24,7,13,0,155,3,12,14,6,26,22,5,14,14,119,203,432,357,259,736,635,235,481,37,3372
SAL10010,4,5,10,3,14,0,0,0,0,40,4,0,3,0,14,11,0,3,4,46,90,145,143,105,262,184,62,99,17,1094
SAL10011,0,3,0,3,5,8,0,0,0,13,3,0,0,0,3,0,0,0,0,11,19,27,17,8,34,35,9,15,0,170
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,5,0,0,17
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,11
SAL10014,20,3,8,0,15,9,9,8,0,72,12,4,6,0,24,20,5,3,13,93,236,218,188,80,550,448,89,155,23,1989
SAL10015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,25,15,3,21,29,10,25,6,134
SAL10016,4,18,7,14,17,21,5,9,0,101,5,10,7,8,19,20,9,7,17,101,176,508,434,271,796,698,201,354,36,3486
SAL10017,13,10,22,10,19,13,3,12,0,99,0,10,9,4,10,17,6,4,7,62,189,469,359,224,524,585,156,328,20,2860
SAL10018,0,6,0,0,5,3,0,4,0,15,0,6,0,0,3,3,0,0,9,25,17,55,52,25,71,82,30,72,18,421
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,8,10,0,15,0,42
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,0,0,0,11
SAL10021,5,4,0,0,3,4,0,8,0,21,0,3,0,0,8,0,0,0,0,16,58,73,58,25,87,93,33,82,4,506
SAL10022,9,4,0,0,8,3,0,0,0,23,12,5,0,4,13,12,0,3,14,73,105,107,81,67,152,121,23,26,38,725
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,4,15,3,5,0,0,48
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,8,10,0,16,0,41
SAL10025,76,48,24,12,50,58,13,34,0,311,23,27,14,7,37,40,10,13,35,215,726,1002,780,485,1407,1398,397,658,86,6936
SAL10026,23,8,11,0,28,19,9,14,0,118,8,8,6,8,25,15,8,7,31,121,309,449,320,227,639,527,163,227,71,2929
SAL10027,4,9,9,0,10,20,8,9,0,67,0,14,7,12,11,15,5,16,9,84,108,378,300,213,498,484,162,362,28,2529
SAL10028,0,0,3,0,3,0,0,3,0,18,0,0,0,0,0,5,0,0,4,6,17,38,30,24,68,58,13,40,10,293
SAL10029,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,8,21,9,6,8,15,6,14,0,82
