SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10002,3,16,0,229,4,0,0,3,3,0,4,0,0,4,16,38,0,0,0,0,0,0,0,0,0,0,0,4,136,21,26,101,48,93,27,44,24,124,19,673
SAL10003,0,14,0,326,5,0,3,3,0,4,0,0,0,0,14,33,0,0,4,0,0,0,0,0,0,0,0,8,169,39,15,156,43,92,16,25,12,56,19,647
SAL10004,0,0,0,43,8,0,0,3,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,60,8,0,51,6,11,0,3,0,3,3,153
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10006,0,0,0,32,0,0,0,4,0,6,0,0,0,0,17,23,0,0,0,0,0,0,0,0,0,0,0,0,49,16,0,52,16,40,5,20,0,25,17,254
SAL10007,0,0,0,39,0,0,0,0,0,0,0,0,0,0,18,26,0,0,0,0,0,0,0,0,0,0,0,0,47,6,0,62,5,43,7,4,3,17,21,229
SAL10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,16
SAL10009,6,5,0,171,16,3,0,4,0,0,0,0,0,0,53,80,5,0,0,0,0,0,0,0,0,0,0,4,247,36,3,306,63,132,8,28,12,47,54,939
SAL10010,0,0,0,30,5,0,0,3,0,0,0,0,0,3,10,19,0,0,0,0,0,0,0,0,0,0,0,0,57,16,9,104,13,45,7,15,0,28,10,299
SAL10011,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,4,7,0,4,0,4,0,41
SAL10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL10014,0,8,0,183,4,0,0,0,0,3,0,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,4,4,221,15,10,152,45,101,15,29,9,48,10,660
SAL10015,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,4,0,4,0,0,0,25
SAL10016,3,0,0,221,3,0,0,4,0,4,0,0,0,6,22,42,0,0,0,0,0,0,0,0,0,0,0,3,182,33,5,251,26,69,10,27,8,27,22,667
SAL10017,5,5,0,278,6,0,0,11,0,0,0,0,3,0,16,42,0,0,0,0,0,0,0,0,0,0,0,4,207,51,13,311,43,70,20,30,7,49,16,815
SAL10018,0,0,0,6,4,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,22,10,15,0,7,0,5,7,98
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,11
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10021,0,0,0,45,4,0,0,4,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,38,10,3,33,12,12,7,8,4,7,3,134
SAL10022,0,0,0,13,0,0,0,0,0,0,0,3,0,6,11,23,0,0,0,0,0,0,0,0,0,0,0,0,31,10,9,22,7,40,11,36,7,91,14,288
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,0,16
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,14
SAL10025,5,4,0,296,13,0,0,18,7,8,9,5,4,7,71,137,0,0,0,0,0,0,0,0,0,0,9,9,410,91,19,575,164,256,70,92,41,106,78,1907
