SAL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL10001,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,5,0,12
SAL10002,40,16,23,7,53,78,20,56,4,305,26,28,43,32,102,142,27,55,3,462,82,23,15,4,48,42,7,16,11,254,51,23,19,22,28,12,0,6,0,154,40,57,48,21,116,63,11,20,3,379,50,39,26,20,34,21,3,8,0,206,14,14,0,8,31,24,9,12,0,119,44,27,8,3,19,17,4,3,3,131,8,0,0,0,9,4,0,4,10,31,358,227,187,116,443,398,86,189,36,2037
SAL10003,33,49,31,16,80,156,64,171,5,600,47,111,92,76,148,232,60,188,15,960,24,32,8,7,31,51,18,16,4,192,42,29,20,7,8,19,11,8,5,148,29,67,48,27,97,87,22,22,0,407,35,41,29,19,39,36,5,17,0,212,4,8,6,6,3,8,3,5,0,40,12,26,9,4,6,8,3,4,6,85,3,4,6,0,8,5,0,4,22,51,227,368,243,158,426,604,199,431,41,2701
SAL10004,5,0,6,5,15,26,14,28,0,98,7,14,16,15,24,38,15,23,0,137,7,7,0,6,22,26,4,21,0,84,0,12,11,7,14,8,5,4,0,65,0,8,9,6,45,3,6,8,0,91,7,18,8,6,10,8,3,4,0,56,4,4,7,0,4,3,0,12,0,35,6,16,10,5,4,3,0,4,0,49,0,0,0,0,0,0,0,0,0,0,34,84,61,42,145,109,47,99,0,618
SAL10005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,10
SAL10006,4,5,5,4,11,22,0,9,0,67,5,6,8,10,22,27,0,9,3,85,14,25,8,15,34,48,12,32,3,189,14,42,30,24,41,26,8,8,3,203,5,14,8,10,26,16,4,5,0,94,19,37,24,11,18,15,4,3,0,121,11,7,11,5,25,36,12,36,0,147,14,40,24,16,30,17,5,14,0,155,0,3,0,5,0,3,3,0,0,20,90,188,114,93,220,203,50,116,13,1078
SAL10007,0,10,5,8,10,14,0,16,4,70,3,14,12,5,13,18,3,11,0,74,16,11,6,11,43,65,24,41,4,214,5,23,21,19,18,5,0,6,0,102,8,6,15,8,22,7,5,5,3,82,8,16,7,9,11,3,0,4,0,59,13,5,14,5,33,33,17,57,3,180,5,28,8,12,38,24,7,16,4,140,0,0,0,0,4,0,3,0,11,21,52,112,100,75,203,171,58,156,26,947
SAL10008,0,4,5,0,0,4,5,20,0,39,0,0,0,4,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,9,4,10,14,4,22,0,71
SAL10009,14,15,17,18,65,85,29,77,0,317,23,50,46,42,119,120,33,69,0,500,18,16,30,26,133,139,64,121,0,560,52,101,82,80,97,55,10,28,3,500,20,51,59,36,132,82,25,16,0,419,27,107,64,22,60,21,11,11,7,320,14,27,27,13,72,73,45,119,6,391,29,67,31,28,52,52,19,30,5,315,7,5,5,0,9,5,6,5,8,47,203,432,357,259,736,635,235,481,37,3372
SAL10010,8,7,8,3,19,18,14,12,0,87,3,10,8,12,23,17,3,12,0,98,14,13,15,19,63,47,17,26,4,210,21,31,29,24,20,11,4,4,0,140,10,18,20,16,43,19,3,4,0,124,0,25,23,10,13,3,5,0,0,87,14,7,15,9,37,32,18,36,0,175,19,31,17,16,34,34,4,11,3,162,6,0,4,0,0,0,0,0,4,11,90,145,143,105,262,184,62,99,17,1094
